change_type,cluster_id,cluster_size,template_mined,cluster_count
cluster_created,42012,1,Found arrays with inconsistent numbers of samples<:CHAR:> [ <<:CHAR:>NUM<:CHAR:>> <<:CHAR:>NUM<:CHAR:>>]>>>,1024
cluster_created,42013,1,len() of unsized object,1024
cluster_created,42014,1,Dataset with data id <<:CHAR:>NUM<:CHAR:>> not found<:CHAR:>,1024
cluster_created,42015,1,expected string or buffer,1024
cluster_created,42016,1,Array must be symmetric,1024
cluster_created,42017,1,"<:CHAR:>no supported conversion for types<:CHAR:> (dtype(<<:CHAR:>VID<:CHAR:>>),)<:CHAR:>",1024
cluster_created,42018,1,"<:CHAR:>no supported conversion for types<:CHAR:> (dtype(<<:CHAR:>VID<:CHAR:>>), dtype(<<:CHAR:>VID<:CHAR:>>))<:CHAR:>",1024
cluster_created,42019,1,log,1024
cluster_created,42020,1,This LabelEncoder instanceis not fitted yet<:CHAR:> Call <<:CHAR:>VID<:CHAR:>> with appropriate arguments before using this method<:CHAR:>,1024
cluster_created,42021,1,X has <<:CHAR:>NUM<:CHAR:>> features per sample<:CHAR:> expecting <<:CHAR:>NUM<:CHAR:>>,1024
cluster_created,42022,1,unsupported operand type(s) for /<:CHAR:> <<:CHAR:>VID<:CHAR:>> and <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42023,1,Found array with dim <<:CHAR:>NUM<:CHAR:>><:CHAR:> Estimator expected <= <<:CHAR:>NUM<:CHAR:>><:CHAR:>,1024
none,39525,29,unhashable type<:CHAR:> <:*:>,1024
cluster_created,42024,1,dimension mismatch,1024
cluster_created,42025,1,Length of values does not match length of index,1024
cluster_created,42026,1,"<:CHAR:>Expected 2D array, got 1D array instead<:CHAR:><:CHAR:>",1024
cluster_created,42027,1,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42028,1,maximum recursion depth exceeded in comparison,1024
cluster_created,42029,1,<type <<:CHAR:>VID<:CHAR:>>>`,1024
none,39526,37,<<:CHAR:>NUM<:CHAR:>>,1024
cluster_created,42030,1,cublas library not found,1024
cluster_created,42031,1,"<:CHAR:>For a sparse output, all columns should be a numeric or convertible to a numeric<:CHAR:><:CHAR:>",1024
cluster_created,42032,1,target not found,1024
none,42021,2,X has <<:CHAR:>NUM<:CHAR:>> features per sample<:CHAR:> expecting <<:CHAR:>NUM<:CHAR:>>,1024
none,42027,2,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42033,1,"<:CHAR:>warm start can only be used where `y` has the same classes as in the previous call to fit<:CHAR:> Previously got [<<:CHAR:>NUM<:CHAR:>> <<:CHAR:>NUM<:CHAR:>>], `y` has [<<:CHAR:>NUM<:CHAR:>>]<:CHAR:>",1024
none,42027,3,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
none,41285,2,arrays used as indices must be of integer (or boolean) type,1024
cluster_created,42034,1,Input contains NaN\,1024
cluster_created,42035,1,"<:CHAR:>Expected sequence or array-like, got estimator Its official US President Barack Obama wants lawmakers weigh \<:CHAR:>",1024
cluster_created,42036,1,"<:CHAR:>A sparse matrix was passed, but dense data is required<:CHAR:> Use <<:CHAR:>URL<:CHAR:>>() to convert to a dense numpy array<:CHAR:><:CHAR:>",1024
cluster_created,42037,1,query data dimension must match training data dimension,1024
none,42026,2,"<:CHAR:>Expected 2D array, got 1D array instead<:CHAR:><:CHAR:>",1024
cluster_created,42038,1,invalid literal for float()<:CHAR:> <<:CHAR:>NUM<:CHAR:>>%,1024
cluster_created,42039,1,"<:CHAR:>Found input variables with inconsistent numbers of samples<:CHAR:> [<<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>>]<:CHAR:>",1024
cluster_created,42040,1,fit() got an unexpected keyword argument <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42041,1,No module named <<:CHAR:>VID<:CHAR:>>,1024
none,39529,153,<:EMP:>,1024
cluster_created,42042,1,Axis must be specified when shapes of a and weights differ<:CHAR:>,1024
cluster_created,42043,1,min faces per person=<<:CHAR:>NUM<:CHAR:>> is too restrictive,1024
cluster_created,42044,1,Invalid parameter solver for estimator LogisticRegression,1024
cluster_created,42045,1,object of type <<:CHAR:>VID<:CHAR:>> has no len(),1024
cluster_created,42046,1,cannot import name <<:CHAR:>VID<:CHAR:>> from <<:CHAR:>VID<:CHAR:>> (C<:CHAR:>\Program Files\Python\lib\site-packages\scipy\ lib\ init <:CHAR:>py),1024
